name,genres,features,rating,price
PixelJunk Eden,"Action, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing",81,$9.99
Empire: Total War - Special Forces Units & Bonus Content,Strategy,"Single-player, Downloadable Content, Stats, Family Sharing",N/A,$24.99
Pandora Saga: Weapons of Balance,"Action, Free To Play, Massively Multiplayer","Multi-player, MMO, Co-op",N/A,Free
Pandora Saga: Weapons of Balance,"Action, Free To Play, Massively Multiplayer","Multi-player, MMO, Co-op",N/A,Free
Empire: Total War Demo,Strategy,"Single-player, Game demo",90,Free
Aliens vs. Predator,Action,"Single-player, Multi-player, Co-op, Steam Achievements, Steam Cloud, Stats, Steam Leaderboards, Family Sharing",68,$14.99
Virtua Tennis 2009,"Simulation, Sports","Single-player, Shared/Split Screen, Partial Controller Support, Family Sharing",68,N/A
Bastion,"Action, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",86,$14.99
Bastion Demo,"Action, RPG, Indie","Single-player, Game demo",86,Free
Space Pirates and Zombies,"Action, Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Stats, Family Sharing",74,$4.99
Space Pirates and Zombies Demo,"Strategy, RPG, Indie","Single-player, Game demo",74,Free
Breath of Death VII,"Indie, RPG","Single-player, Full controller support, Family Sharing",N/A,$2.99
Cthulhu Saves the World,"Indie, RPG","Single-player, Full controller support, Steam Trading Cards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",78,$2.99
Arma 3,"Action, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Steam Achievements, Steam Trading Cards, Captions available, Steam Workshop, Steam Leaderboards, Includes level editor",74,$29.99
ARMA X: Anniversary Edition,N/A,Family Sharing,N/A,N/A
