name,genres,features,rating,price
Gunman Clive,"Action, Indie","Single-player, Steam Achievements, Family Sharing",N/A,$1.99
Chuck's Challenge 3D 2020,"Action, Adventure, Strategy","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Stats, Includes level editor, Family Sharing",N/A,$9.99
Liquid Rhythm,Audio Production,Single-player,N/A,$2.99
Tom vs. The Armies of Hell,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",N/A,$0.99
RaySupreme 3D,Animation & Modeling,N/A,N/A,Free
Little Racers STREET,"Casual, Indie, Racing","Single-player, Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing",62,$5.99
GoD Factory: Wingmen,"Action, Indie, Simulation, Strategy","Multi-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing",76,$19.99
Freedom Fall,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing",N/A,$9.99
Our Darker Purpose,"Action, Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",74,$14.99
Super Turbo Demon Busters!,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",N/A,$11.99
Crimsonland,"Action, Indie, RPG","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",68,$13.99
The Journey Down: Chapter Two,"Adventure, Indie","Single-player, Steam Trading Cards, Family Sharing",78,$14.99
Recovery Search & Rescue Simulation,Simulation,"Single-player, Family Sharing",N/A,$1.24
Smooth Operators,"Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",N/A,$2.99
Super Chain Crusher Horizon,"Action, Indie","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Leaderboards, Remote Play Together, Family Sharing",N/A,$14.99
Broken Sword 5 - the Serpent's Curse,Adventure,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",N/A,$24.99
Castle In The Darkness,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing",76,$9.99
C-RUSH,"Action, Indie","Single-player, Steam Achievements, Steam Leaderboards, Family Sharing",N/A,$1.99
Call of Duty 2,Action,"Single-player, Multi-player, Family Sharing",86,$14.99
Drug Wars,"Action, Indie","Single-player, Multi-player, Family Sharing",35,$4.99
STARWHAL,"Action, Casual, Indie, Sports","Single-player, Multi-player, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",N/A,$11.99
Bot Colony,"Adventure, Casual, Indie, RPG, Simulation, Strategy, Early Access","Single-player, Steam Trading Cards, Family Sharing",N/A,$14.99
Blockstorm,"Action, Indie","Multi-player, Cross-Platform Multiplayer, Steam Trading Cards, Steam Workshop, Partial Controller Support, Includes level editor",N/A,Free
9.03m,Indie,Single-player,N/A,Free
Ludwig,"Adventure, Indie, Simulation","Single-player, Family Sharing",N/A,$9.99
Postmortem: One Must Die (Extended Cut),"Adventure, Indie, RPG","Single-player, Captions available, Stats, Family Sharing",N/A,$2.99
Squirt's Adventure,"Adventure, Casual, Indie",Single-player,N/A,Free
Signs of Life,"Action, Adventure, Casual, Indie, RPG, Early Access","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",N/A,$9.99
BlazBlue: Calamity Trigger,Action,"Single-player, Multi-player, Shared/Split Screen, Full controller support, Steam Trading Cards, Remote Play on TV, Remote Play Together, Family Sharing",N/A,$9.99
Saturday Morning RPG,"Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Remote Play on TV, Family Sharing",N/A,$6.99
Continue?9876543210,"Action, Adventure, Indie","Single-player, Partial Controller Support, Family Sharing",62,$9.99
3089 -- Futuristic Action RPG,"Action, Indie, RPG","Single-player, Co-op, Steam Trading Cards, Family Sharing",N/A,$6.99
Driftmoon,"Adventure, Indie, RPG","Single-player, Steam Achievements, Captions available, Family Sharing",73,$13.99
War of the Human Tanks,"Adventure, Indie, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Family Sharing",N/A,$9.99
Probably Archery,"Action, Casual, Indie, Sports","Single-player, Multi-player, Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Leaderboards, Family Sharing",N/A,$2.99
Girls Like Robots,"Adventure, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Family Sharing",N/A,$6.99
Final Rush,"Action, Indie","Single-player, Multi-player, Co-op, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing",N/A,$4.99
Enola,"Adventure, Casual, Indie","Single-player, Steam Trading Cards, Steam Cloud, Family Sharing",N/A,$3.44
Villagers and Heroes,"Free To Play, Indie, Massively Multiplayer, RPG","Multi-player, MMO, Steam Trading Cards",N/A,Free
Paper Sorcerer,"Adventure, Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",73,$4.99
Mitsurugi Kamui Hikae,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on TV, Family Sharing",N/A,$1.99
CDF Ghostship,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing",N/A,$9.99
Unearthed: Trail of Ibn Battuta - Episode 1 - Gold Edition,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing",N/A,$4.99
Muffin Knight,"Action, Adventure, Casual, Indie","Single-player, Multi-player, Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Partial Controller Support, Steam Leaderboards, Family Sharing",N/A,$4.99
Brawlout,"Action, Casual, Indie","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Leaderboards, Remote Play on TV, Remote Play Together, Family Sharing",N/A,$19.99
FootLOL: Epic Soccer League,"Action, Indie, RPG, Sports","Single-player, Multi-player, Steam Achievements, Steam Trading Cards, Family Sharing",N/A,$9.99
Turbo Dismount,"Action, Indie, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Stats, Steam Leaderboards, Includes level editor, Family Sharing",N/A,$9.99
Spaceforce Constellations,Strategy,"Single-player, Family Sharing",N/A,$9.99
EvilQuest,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing",N/A,$1.99
SPACECOM,"Indie, Strategy","Single-player, Multi-player, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing",68,$1.49
Aqua Kitty - Milk Mine Defender,"Action, Indie","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play Together, Family Sharing",N/A,$6.99
Zombie Grinder,"Action, Adventure, Indie, RPG, Early Access","Single-player, Multi-player, Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats, Steam Leaderboards, Includes level editor, Remote Play Together, Family Sharing",N/A,$8.99
Red Baron Pack,Simulation,"Single-player, Multi-player, Partial Controller Support, Family Sharing",N/A,$9.99
Wyv and Keep: The Temple of the Lost Idol,"Action, Adventure, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen, Full controller support, Steam Trading Cards, Remote Play Together, Family Sharing",N/A,$14.99
Out There Somewhere,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Family Sharing",N/A,$9.99
Call of Duty: United Offensive,Action,"Single-player, Multi-player, Family Sharing",87,$14.99
Son of Nor,"Action, Adventure, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Captions available, Partial Controller Support, Stats, Remote Play Together, Family Sharing",54,$19.99
Geekbench 3,Utilities,"Single-player, Steam Achievements, Steam Leaderboards",N/A,$14.99
Full Bore,"Adventure, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",72,$14.99
Vangers,"Action, Adventure, Indie, Racing","Single-player, Family Sharing",N/A,$6.99
Pixel Piracy,"Adventure, Indie, RPG, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",N/A,$14.99
WazHack,"Action, Indie, RPG, Strategy","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Workshop, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing",N/A,$9.99
One Finger Death Punch,"Action, Casual, Indie","Single-player, Steam Achievements, Partial Controller Support, Steam Leaderboards, Family Sharing",N/A,$4.99
Mr. Bree+,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Family Sharing",N/A,$2.99
99 Levels To Hell,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Leaderboards, Family Sharing",66,$4.99
Guns n Zombies,"Action, Adventure, Indie, RPG","Single-player, Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing",N/A,$7.99
Captain Morgane and the Golden Turtle,"Adventure, Casual","Single-player, Family Sharing",N/A,$4.99
Major Mayhem,"Action, Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing",N/A,$4.99
Narcissu 1st & 2nd,Indie,"Single-player, Steam Achievements",N/A,Free
Jacob Jones and the Bigfoot Mystery : Episode 1,Adventure,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",N/A,$4.99
Comicado,Design & Illustration,N/A,N/A,$4.99
Children of Liberty,"Action, Indie, Early Access","Single-player, Full controller support, Stats, Family Sharing",N/A,$9.99
A-Men,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",N/A,$9.99
Moebius: Empire Rising,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Captions available, Steam Cloud, Family Sharing",54,$14.99
Platformines,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Family Sharing",67,$0.99
Quest for Infamy,"Adventure, Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Captions available, Family Sharing",63,$9.99
Lost Civilization,"Adventure, Casual","Single-player, Family Sharing",N/A,$4.99
Sonic and All-Stars Racing Transformed - Yogscast DLC,"Racing, Sports","Single-player, Multi-player, Shared/Split Screen, Downloadable Content, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Valve Anti-Cheat enabled, Family Sharing",N/A,$4.99
PAYDAY 2: Armored Transport,"Action, RPG","Single-player, Multi-player, Co-op, Online Co-op, Downloadable Content, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing",N/A,$1.99
TrackMania Valley Demo,"Racing, Sports","Single-player, Multi-player, Game demo, Steam Workshop",79,Free
Coin Crypt,"Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Steam Leaderboards, Family Sharing",N/A,$9.99
Subnautica,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, VR Supported, Steam Trading Cards, VR Support, Steam Cloud, Remote Play on TV, Family Sharing",87,$29.99
Deadly 30,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",N/A,$0.69
Professional Farmer 2014 - Good Ol Times DLC,"Casual, Simulation","Single-player, Downloadable Content, Family Sharing",N/A,$0.99
Realms of Arkania: Blade of Destiny - For the Gods DLC,"Adventure, Indie, RPG","Single-player, Downloadable Content, Family Sharing",N/A,$1.99
TrackMania Canyon Demo,"Racing, Sports","Single-player, Multi-player, Game demo, Steam Workshop, Partial Controller Support",81,Free
Professional Farmer 2014 Demo,Simulation,"Single-player, Game demo",N/A,Free
Cogs,"Indie, Casual","Single-player, Steam Achievements, Family Sharing",73,$5.99
FORCED SHOWDOWN,"Action, Indie, RPG, Strategy","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",67,$19.99
Ragnarok Online 2 - Santa Claus Essentials Pack,"Free To Play, Massively Multiplayer, RPG","Single-player, Multi-player, MMO, Downloadable Content",N/A,$49.99
Cogs Demo,"Strategy, Indie, Casual","Single-player, Game demo",73,Free
Gas Guzzlers Extreme Demo,"Action, Racing, Sports","Single-player, Multi-player, Game demo, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Valve Anti-Cheat enabled, Stats, Steam Leaderboards",73,Free
Meridian: New World,"Indie, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Family Sharing",43,$6.99
Marvel Puzzle Quest - S.H.I.E.L.D. New Recruit Pack,"Free To Play, RPG","Single-player, Multi-player, Cross-Platform Multiplayer, Downloadable Content",N/A,$9.99
Acceleration of SUGURI X-Edition HD,"Action, Indie","Single-player, Multi-player, Partial Controller Support, Steam Cloud, Family Sharing",N/A,$5.99
Viscera Cleanup Detail: Santa's Rampage,"Gore, Indie, Simulation","Single-player, Multi-player, Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing",N/A,$2.49
The Age of Decadence Demo,"Indie, RPG","Single-player, Game demo",81,Free
Crazy Machines: Golden Gears,"Casual, Strategy","Single-player, Steam Achievements, Steam Leaderboards, Includes level editor, Family Sharing",N/A,$9.99
Lords Of The Fallen 2014,"Action, RPG","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",75,$29.99
Gomo,"Adventure, Indie","Single-player, Steam Trading Cards, Steam Cloud, Family Sharing",50,$0.74
Grimind,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing",N/A,$1.09
FX Football - The Manager for Every Football Fan,"Simulation, Sports, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Family Sharing",N/A,N/A
Space Hulk - Behemoth Skin DLC,"Indie, Strategy","Single-player, Multi-player, Cross-Platform Multiplayer, Downloadable Content, Steam Achievements, Steam Trading Cards, Family Sharing",N/A,N/A
RPG Maker VX Ace - Inspirational Vol. 1,"Design & Illustration, Web Publishing",Downloadable Content,N/A,$24.99
Even the Ocean,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",N/A,$7.99
Axis Game Factory Demo,"Action, Adventure, RPG, Strategy, Design & Illustration, Education, Utilities","Single-player, Multi-player, MMO, Game demo, Includes level editor",N/A,Free
Dead Rising 3 Apocalypse Edition,Action,"Single-player, Multi-player, Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing",N/A,$29.99
The Red Solstice,Strategy,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Captions available, Steam Cloud, Stats, Steam Leaderboards, Family Sharing",74,$9.99
Epic Battle Fantasy 4,"Adventure, RPG","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",N/A,$14.99
Fistful of Frags,"Action, Free To Play, Indie","Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Workshop, Stats, Steam Leaderboards, Includes level editor, Includes Source SDK, Remote Play Together",N/A,Free
NaissanceE,"Adventure, Indie",Single-player,66,Free
Frane: Dragons' Odyssey,"Action, Adventure, Casual, Indie, RPG","Single-player, Partial Controller Support, Family Sharing",N/A,$12.99
Secret Ponchos,"Action, Indie","Multi-player, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Steam Leaderboards, Remote Play on TV, Family Sharing",N/A,$14.99
Cannons Lasers Rockets,"Action, Free To Play, Indie, Massively Multiplayer","Multi-player, Steam Achievements, Steam Leaderboards",N/A,Free
Residue: Final Cut,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",N/A,$1.99
The Sandbox,"Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Workshop, Steam Cloud, Family Sharing",N/A,$4.99
Monochroma,"Action, Adventure, Indie","Single-player, Full controller support, Steam Trading Cards, Remote Play on TV, Family Sharing",55,$19.99
Alpha Kimori 1,"Adventure, Casual, Indie, RPG, Strategy","Single-player, Steam Trading Cards, Partial Controller Support, Family Sharing",N/A,$9.99
Hexcells,"Casual, Indie, Strategy","Single-player, Steam Achievements, Steam Cloud, Family Sharing",N/A,$2.99
Goat Simulator,"Casual, Indie, Simulation","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Steam Leaderboards, Includes level editor, Remote Play on TV, Remote Play Together, Family Sharing",62,$9.99
Ether One,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on TV, Family Sharing",82,$19.99
Worlds of Magic,"RPG, Strategy","Single-player, Multi-player, Co-op, Shared/Split Screen, Steam Achievements, Steam Trading Cards, Remote Play Together, Family Sharing",52,$0.99
Rogue's Tale,"Indie, RPG","Single-player, Steam Achievements, Partial Controller Support, Family Sharing",N/A,$6.99
LYNE,"Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play Together, Family Sharing",N/A,$2.99
DRAKERZ-Confrontation,"Free To Play, Indie, Strategy","Single-player, Multi-player",N/A,Free
Into the Dark: Ultimate Trash Edition,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing",N/A,$4.99
Starlite: Astronaut Rescue - Developed in Collaboration with NASA,"Adventure, RPG, Simulation","Single-player, Family Sharing",N/A,$2.99
Tower of Guns,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",76,$14.99
Breach & Clear,"Action, RPG, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Family Sharing",N/A,$9.99
Lost Saga NA,"Action, Casual, Free To Play","Multi-player, Steam Achievements, Steam Trading Cards, Family Sharing",N/A,N/A
Windforge,"Action, Indie, RPG","Single-player, Steam Achievements, Family Sharing",53,$9.99
Astral Terra,"Action, Adventure, Indie, RPG, Early Access","Single-player, Multi-player, PvP, Online PvP, Co-op, Family Sharing",N/A,$9.99
One Way Heroics,"Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",N/A,$1.08
Last Dream,"Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Steam Leaderboards, Family Sharing",N/A,$9.99
Procyon,"Action, Indie","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play Together, Family Sharing",N/A,$3.99
Gridiron Solitaire,"Casual, Sports","Single-player, Family Sharing",N/A,$7.99
Helicopter Simulator 2014: Search and Rescue,Simulation,"Single-player, Steam Achievements, Partial Controller Support, Family Sharing",N/A,$6.99
GameGuru Classic,"Animation & Modeling, Design & Illustration, Education, Software Training, Utilities, Game Development","Single-player, Multi-player, Includes level editor",N/A,$19.99
Ethan: Meteor Hunter,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Remote Play on TV, Family Sharing",N/A,$9.99
Calibre 10 Racing,"Action, Racing","Single-player, Multi-player, Co-op, Steam Achievements, Partial Controller Support, Stats, Steam Leaderboards, Family Sharing",N/A,$1.99
Farm for your Life,"Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements, Family Sharing",N/A,$9.99
iRacing,"Massively Multiplayer, Racing, Simulation, Sports","Single-player, Multi-player, MMO, PvP, Online PvP, VR Support, Partial Controller Support, Family Sharing",79,"10,99"
Anarchy Arcade,"Casual, Free To Play, Indie, Early Access","Single-player, Multi-player, Steam Achievements, Steam Workshop, Partial Controller Support, Stats, Steam Leaderboards, Includes level editor",N/A,Free
Lili: Child of Geos - Complete Edition,"Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Steam Leaderboards, Family Sharing",N/A,$14.99
Hand of Fate,"Action, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing",78,CDN$ 19.99
AGFPPROV3 Premium,"Animation & Modeling, Design & Illustration, Education, Software Training, Utilities","Single-player, Multi-player, Downloadable Content, Includes level editor",N/A,$29.99
Magicka: The Ninth Element Novel,"Action, RPG","Single-player, Downloadable Content, Family Sharing",N/A,$4.99
Age of Mythology: Extended Edition,"Simulation, Strategy","Single-player, Multi-player, Co-op, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats, Steam Leaderboards, Includes level editor, Family Sharing",66,$29.99
Forge - Assassin VIP Pack,"Action, Free To Play, Indie, RPG","Multi-player, Downloadable Content",N/A,$9.99
Euro Truck Simulator 2 - Ice Cold Paint Jobs Pack,"Indie, Simuladores","Un jugador, Contenido descargable, Logros de Steam, Cromos de Steam, Compatibilidad con RV, Compat. parcial con mando, Incluye editor de niveles, Prstamo familiar",N/A,$0.64 USD
The Labyrinth of Time,Adventure,"Single-player, Family Sharing",N/A,$5.99
Smashing Toys,"Racing, Indie","Single-player, Multi-player, Family Sharing",N/A,N/A
Gravity Badgers,"Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",N/A,$1.19
Smashing Toys,"Racing, Indie","Single-player, Multi-player, Family Sharing",N/A,N/A
Line Of Defense Tactics - Tactical Advantage,"Action, Casual, Indie, RPG, Strategy","Single-player, Partial Controller Support, Family Sharing",47,$9.99
Beware Planet Earth,"Casual, Indie, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",N/A,$4.99
MURI,Action,"Single-player, Steam Trading Cards, Partial Controller Support, Family Sharing",N/A,$9.99
PAYDAY 2: Gage Weapon Pack #01,"Action, RPG","Single-player, Multi-player, Co-op, Online Co-op, Downloadable Content, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing",N/A,$0.99
MAGIX Movie Edit Pro 2014 Plus,N/A,N/A,N/A,N/A
Batman: Arkham Origins Blackgate - Deluxe Edition,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",N/A,$19.99
The LEGO Movie - Videogame,"Action, Adventure","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",N/A,CDN$ 19.99
Airport Simulator 2014,"Massively Multiplayer, Simulation, Strategy","Single-player, Steam Cloud, Family Sharing",N/A,$4.99
Woodcutter Simulator 2013,Simulation,"Single-player, Multi-player, Steam Cloud, Family Sharing",N/A,$4.99
Total War: ROME II - Beasts of War Unit Pack,Strategy,"Single-player, Multi-player, Downloadable Content, Steam Trading Cards, Steam Cloud, Family Sharing",N/A,$2.99
Android Exporter for Clickteam Fusion 2.5,"Animation & Modeling, Education, Utilities, Web Publishing","Single-player, Multi-player, MMO, Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Downloadable Content, Steam Achievements, Steam Leaderboards",N/A,$99.99
Finding Teddy Soundtrack,"Adventure, Free To Play, Indie",Family Sharing,N/A,N/A
Realms of Arkania 1 - Blade of Destiny Classic,RPG,"Single-player, Steam Trading Cards, Family Sharing",N/A,$2.99
US Diesel Locomotives - Set 1,Simulation,"Single-player, Downloadable Content, Family Sharing",N/A,$13.99
Sword of the Stars: The Pit Soundtrack,"Casual, Indie, RPG, Strategy",N/A,N/A,$4.99
Ground Pounders,"Indie, Strategy","Single-player, Multi-player, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Family Sharing",N/A,$4.99
Talisman Character - Martyr,"Indie, RPG, Strategy","Single-player, Multi-player, Downloadable Content, Steam Achievements, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing",N/A,$1.99
Talisman - The Highland Expansion,"Indie, RPG, Strategy","Single-player, Multi-player, Downloadable Content, Steam Achievements, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing",N/A,$4.99
Clickteam Fusion 2.5 Developer Upgrade,"Animation & Modeling, Education, Utilities, Web Publishing","Single-player, Multi-player, MMO, Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Downloadable Content, Steam Achievements, Steam Leaderboards",N/A,$299.99
Liquid Rhythm Collection,Audio Production,"Single-player, Downloadable Content",N/A,$5.99
VelocityUltra - Soundtrack,Action,"Single-player, Downloadable Content, Family Sharing",N/A,$4.99
Bridge It Demo,Simulation,"Single-player, Game demo, Steam Cloud",N/A,Free
Guilty Gear Isuka,Action,"Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Trading Cards, Partial Controller Support, Steam Cloud, Remote Play Together, Family Sharing",N/A,$9.99
Gun Metal,Action,"Single-player, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",N/A,$2.99
Glacier 3: The Meltdown,"Action, Racing","Single-player, Family Sharing",N/A,$2.99
Hyper Fighters,Action,"Single-player, Family Sharing",N/A,$2.99
Hostile Waters: Antaeus Rising,Strategy,"Single-player, Steam Trading Cards, Steam Cloud, Family Sharing",80,$2.99
The History Channel: Civil War,Action,"Single-player, Family Sharing",N/A,N/A
Braid,"Casual, Indie, Strategy","Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Family Sharing",90,$14.99
Battle Worlds: Kronos Demo,Strategy,"Single-player, Multi-player, Cross-Platform Multiplayer, Game demo, Steam Achievements, Steam Trading Cards, Includes level editor",71,Free
The Evil Within,Action,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Remote Play on TV, Family Sharing",68,$19.99
Dungeon of the ENDLESS - Crystal Edition Upgrade,"Adventure, Indie, RPG, Strategy","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Downloadable Content, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",N/A,N/A
Starbound - Soundtrack,"Action, Adventure, Casual, Indie, RPG",N/A,N/A,$0.99
Braid Demo,"Strategy, Indie","Single-player, Game demo",90,Free
Call of Duty: Ghosts - Festive Personalization Pack,Action,"Single-player, Multi-player, Downloadable Content, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards, Family Sharing",N/A,N/A
Liquid Rhythm Randomizer,Audio Production,"Single-player, Downloadable Content",N/A,$5.99
